,4EBP1_pS65,ACC_pS79,Akt_pS473,Akt_pT308,AMPK_pT172,Bad_pS112,c-Met_pY1235,c-Raf_pS338,Chk1_pS345,Chk2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
p90RSK_pT359_S363,0.00099451,0.000637228,0.001164409,0.000562628,0.00041342,0.988616963,0.001200954,0.00051403,0.001859067,0.00091605,0.000269276,0.000707712,0.001306619,0.007664753,0.000559994,0.003087089,0.000446048,0.0007778,0.019960362,0.000586559,0.000434065,0.001027518,0.001245054,0.000530076,0.023924596,0.000509809,0.000416838,0.000648587,0.146315287,0.200329035,0.000476858,0.002223925,0.001296966,0.005949506,0.001167926
PDK1_pS241,0.001038809,0.000350797,0.245440754,0.112877531,0.002710044,0.000184202,0.000286493,0.000645884,0.000930846,0.000420741,0.000533449,0.0306575,0.000385912,0.000621842,0.000355824,0.001235872,0.000968548,0.000519268,0.000643271,0.001848136,0.003438567,0.000304392,0.000532684,0.173454359,0.001333889,0.000507229,0.009220898,0.001611446,0.010500302,0.000540335,0.001283941,0.001749416,0.000852359,0.003604164,0.003673781
PKC-alpha_pS657,0.003727625,0.001028907,0.000554065,0.000852146,0.000265284,0.000134705,0.000267205,0.002930339,0.00066675,0.000423943,0.000278128,0.000488925,0.000380603,0.000583391,0.001001537,0.000548336,0.0004281,0.000530261,0.00183724,0.000801181,0.000298646,0.000862576,0.009895505,0.000746801,0.000712187,0.000496471,0.001049368,0.000984742,0.000646118,0.000613465,0.000533737,0.000431728,0.034992044,0.000630661,0.003758484
PRAS40_pT246,0.025080411,0.003802505,0.001153262,0.001618018,0.000254228,0.185673428,0.007440981,0.000963919,0.000997644,0.000391366,0.000282531,0.001684629,0.000638764,0.000526831,0.004629522,0.004618421,0.000585149,0.000650016,0.008891443,0.003394911,0.000318614,0.000376342,0.001943669,0.000552816,0.000693536,0.002317107,0.001219054,0.003320854,0.001539939,0.001021262,0.015653445,0.000342493,0.59580747,0.004791962,0.004897144
Rb_pS807_S811,0.004208251,0.000432991,0.000548282,0.00087063,0.000249784,0.000864042,0.001217683,0.001741593,0.003138118,0.000674206,0.00033304,0.02916657,0.000405,0.000621176,0.031231332,0.463577142,0.00057352,0.000574149,0.001207844,0.000452296,0.00485595,0.0019128,0.001699259,0.002925437,0.005056418,0.000871638,0.000887903,0.004506442,0.985035384,0.000573434,0.00065427,0.000771958,0.005275632,0.001767556,0.012193956
S6_pS235_S236,0.001214716,0.005702698,0.001512544,0.000903919,0.000288474,0.142580125,0.008991276,0.000581969,0.001277637,0.000689698,0.000413736,0.001731721,0.002830548,0.004375963,0.000454087,0.000701654,0.001322048,0.000921345,0.05900216,0.002376935,0.000493519,0.000388237,0.985170758,0.00054169,0.001325821,0.00188433,0.001353789,0.00219439,0.00129533,0.715859198,0.083238568,0.00034103,0.015971066,0.004876732,0.001186735
Src_pY416,0.004259763,0.000472757,0.000576152,0.000986076,0.000251185,9.59E-05,0.000376386,0.000656221,0.001645563,0.016425492,0.000503543,0.000855585,0.000602481,0.000831478,0.000319597,0.001060475,0.00044645,0.000716286,0.001054375,0.00033832,0.000431603,0.001461131,0.000601952,0.000540117,0.000758767,0.000552716,0.000335923,0.000652519,0.000773351,0.001330891,0.001615363,0.001717852,0.183599723,0.000892811,0.000637679
Src_pY527,0.001493137,0.000715487,0.000611835,0.000613575,0.000353316,0.000415366,0.000266746,0.000801309,0.001066711,0.000382949,0.000293058,0.000555825,0.003724108,0.00065476,0.000318544,0.000649658,0.00041134,0.000640705,0.002497248,0.000397244,0.000339207,0.000617397,0.0014751,0.000572813,0.000806129,0.000512685,0.000423128,0.014143656,0.000855549,0.000645698,0.000428699,0.000596872,0.252250296,0.002023212,0.001192381
STAT3_pY705,0.001194766,0.002576761,0.000549381,0.000629916,0.000316286,0.000122814,0.000354322,0.000570043,0.000824117,0.000605101,0.000876519,0.000553825,0.000381795,0.000700911,0.000365787,0.000561293,0.000469606,0.00054893,0.001366285,0.000679125,0.000423408,0.000360514,0.000483139,0.000663227,0.000719235,0.001909439,0.001318862,0.013326449,0.00105292,0.004449093,0.021901575,0.001460773,0.233228445,0.001293191,0.000509422
YAP_pS127,0.003041101,0.000609547,0.000547869,0.001058111,0.000377455,0.000173522,0.007348569,0.00822396,0.000685568,0.000581782,0.000652476,0.002455744,0.000905958,0.00074203,0.001330905,0.00177632,0.000534907,0.000728419,0.000727959,0.000361731,0.000827533,0.001872528,0.011086463,0.000952503,0.000716582,0.002033796,0.000428133,0.002764823,0.001396804,0.000788324,0.002266226,0.000342898,0.144800058,0.019150437,0.024913009
YB-1_PS102,0.001408739,0.001498934,0.00060102,0.000663787,0.00027808,0.000746756,0.003820933,0.000543346,0.0011232,0.000822749,0.000271632,0.004046655,0.00044237,0.001061204,0.001011665,0.014062552,0.000613069,0.000829876,0.001980793,0.000409532,0.000356907,0.00066138,0.002678319,0.001024975,0.00146654,0.000992606,0.001963524,0.003270021,0.094639791,0.000616216,0.001078201,0.000654289,0.001826868,0.00524215,0.99498293
